collegeId,collegeName,collegeSlug,city,state,legacyDivision,programId,programDivision,collegeConference,programConference,baseballWebsiteUrl
cmou87s0o00llqt8obrn2et5p,East Texas A&M University,east-texas-am-university,Commerce,TX,,cmou87s1f00lnqt8og9kmz6ie,NCAA_D1,,Southland,https://lionathletics.com/sports/baseball
cmou72rdk00c3qtt8y45siwr2,Elon University,elon-university,Elon,NC,,cmou72rea00c5qtt8bv7rh2o3,NCAA_D1,,CAA,https://elonphoenix.com/sports/baseball
cmou7g4zq00euqtkwd42cysuy,Fairfield University,fairfield-university,Fairfield,CT,,cmou7g50f00ewqtkwsbzcsid6,NCAA_D1,,MAAC,https://fairfieldstags.com/sports/baseball
cmou65q8l008lqt1ozzkwkjhm,Fordham University,fordham-university,Bronx,NY,,cmou65q9a008nqt1ohbgyxbpf,NCAA_D1,,Atlantic 10,https://fordhamsports.com/sports/baseball
cmou6ba5c00alqticm9m1ucs0,Georgetown University,georgetown-university,Washington,DC,,cmou6ba6000anqticmefr3evw,NCAA_D1,,Big East,https://guhoyas.com/sports/baseball
cmou3xrhd006xqt5sy8mx7xfp,Gonzaga University,gonzaga-university,Spokane,WA,,cmou3xrhz006zqt5svvnwi1wg,NCAA_D1,,West Coast Conference,https://gozags.com/sports/baseball
cmou8bkcv00mxqtuw4jh5usi0,Grambling State University,grambling-state-university,Grambling,LA,,cmou8bkdk00mzqtuw3pctg8sc,NCAA_D1,,SWAC,https://gsutigers.com/sports/baseball
cmou7eksh00efqtx82hcfwyn5,Harvard University,harvard-university,Cambridge,MA,,cmou7ekt600ehqtx8psyqlq39,NCAA_D1,,Ivy League,https://gocrimson.com/sports/baseball
cmosun0gl005iqtlg3rsb1jga,Iowa State University,iowa-state-university,Ames,IA,,cmosun0h8005kqtlgzn9zgzov,NCAA_D1,,Big 12,
cmou692c9009rqt1gyfzu2me9,Jacksonville University,jacksonville-university,Jacksonville,FL,,cmou692cy009tqt1gvkh1u2u0,NCAA_D1,,ASUN,https://judolphins.com/sports/baseball
cmou853xc00koqtiw191jfymh,Lafayette College,lafayette-college,Easton,PA,,cmou853xz00kqqtiw0169j0ad,NCAA_D1,,Patriot League,https://goleopards.com/sports/baseball
cmou853yn00krqtiwxft9rpx6,Lehigh University,lehigh-university,Bethlehem,PA,,cmou853zf00ktqtiwls9maf65,NCAA_D1,,Patriot League,https://lehighsports.com/sports/baseball
cmorirvly001xqtm0tzybydoz,Liberty University,liberty-university,Lynchburg,VA,,cmorirvmo001zqtm0q8nwguf6,NCAA_D1,,Conference USA,https://libertyflames.com/sports/baseball
cmou6tv4900bfqti0dl5zm88o,Longwood University,longwood-university,Farmville,VA,,cmou6tv4y00bhqti0f4aa9zgu,NCAA_D1,,Big South,https://longwoodlancers.com/sports/baseball
cmosp9qiy001uqtygr9z70e4d,Louisiana State University,louisiana-state-university,Baton Rouge,LA,,cmosp9qjl001wqtygay3k1f31,NCAA_D1,,SEC,https://lsusports.net/sports/bsb/
cmou7g51200exqtkwf7kuasw3,Manhattan University,manhattan-university,Bronx,NY,,cmou7g51s00ezqtkwxetc5qqx,NCAA_D1,,MAAC,https://gojaspers.com/sports/baseball
cmou7g52f00f0qtkwt9df4qnj,Marist University,marist-university,Poughkeepsie,NY,,cmou7g53400f2qtkwqmbg3tkd,NCAA_D1,,MAAC,https://goredfoxes.com/sports/baseball
cmou6ba6o00aoqticyii4x4fl,Marquette University,marquette-university,Milwaukee,WI,,cmou6ba7d00aqqticpdxjqz8q,NCAA_D1,,Big East,
cmou3bzgk0066qtvox0ta1p15,Marshall University,marshall-university,Huntington,WV,,cmou3bzhc0068qtvojrm3rzyk,NCAA_D1,,Sun Belt,https://herdzone.com/sports/baseball
cmou87s7p00lxqt8o8ol0m0nw,McNeese State University,mcneese-state-university,Lake Charles,LA,,cmou87s8g00lzqt8ofnxh0lqd,NCAA_D1,,Southland,https://mcneesesports.com/sports/baseball
cmorirvda001fqtm0bda9w5vn,Mercer University,mercer-university,Macon,GA,,cmorirve1001hqtm0mjm0p8oa,NCAA_D1,,SoCon,https://mercerbears.com/sports/baseball
cmou7zwf900jcqt18wr5yrl6b,Merrimack College,merrimack-college,North Andover,MA,,cmou7zwfz00jeqt18k733ahlx,NCAA_D1,,Northeast Conference,https://merrimackathletics.com/sports/baseball
cmou72rez00c6qtt8vg07t3mb,Monmouth University,monmouth-university,West Long Branch,NJ,,cmou72rfn00c8qtt8hwktn20p,NCAA_D1,,CAA,https://monmouthhawks.com/sports/baseball
cmou7g55900f6qtkwnbzbwha4,Niagara University,niagara-university,Niagara University,NY,,cmou7g55y00f8qtkwgjqz1y2q,NCAA_D1,,MAAC,https://purpleeagles.com/sports/baseball
cmou87sao00m3qt8o9ltpx7xj,Nicholls State University,nicholls-state-university,Thibodaux,LA,,cmou87sbe00m5qt8o3c4bkqxp,NCAA_D1,,Southland,https://geauxcolonels.com/sports/baseball
cmou7v16500guqtfgg29wl5pq,Norfolk State University,norfolk-state-university,Norfolk,VA,,cmou7v16v00gwqtfgg233rx6f,NCAA_D1,,MEAC,https://nsuspartans.com/sports/baseball
cmou7v17l00gxqtfg0hn9bpcu,North Carolina Central University,north-carolina-central-university,Durham,NC,,cmou7v18e00gzqtfgii9a1tv8,NCAA_D1,,MEAC,https://nccueaglepride.com/sports/baseball
cmou72rhq00ccqtt8mnchz644,Northeastern University,northeastern-university,Boston,MA,,cmou72rih00ceqtt8pvkwzi7n,NCAA_D1,,CAA,https://nuhuskies.com/sports/baseball
cmou7aqq300e0qt44815c4i48,Oakland University,oakland-university,Rochester,MI,,cmou7aqqy00e2qt44hyodugts,NCAA_D1,,Horizon League,https://goldengrizzlies.com/sports/baseball
cmou7skqk00gfqtagxrcr2y5r,Ohio University,ohio-university,Athens,OH,,cmou7skr800ghqtagxadkl54c,NCAA_D1,,MAC,https://ohiobobcats.com/sports/baseball
cmou8ea9700oiqt6sl6kxo6py,Pepperdine University,pepperdine-university,Malibu,CA,,cmou8ea9w00okqt6sxqte3yga,NCAA_D1,,West Coast Conference,https://pepperdinewaves.com/sports/baseball
cmou6tv5p00biqti096g6a7i8,Presbyterian College,presbyterian-college,Clinton,SC,,cmou6tv6d00bkqti0fqrjrjwf,NCAA_D1,,Big South,https://gobluehose.com/sports/baseball
cmou7ekvb00elqtx8wqvell5p,Princeton University,princeton-university,Princeton,NJ,,cmou7ekw100enqtx8836iwma7,NCAA_D1,,Ivy League,https://goprincetontigers.com/sports/baseball
cmoss3ura003lqtaodex5xyz9,Purdue University,purdue-university,West Lafayette,IN,,cmoss3urx003nqtaoxvvgb7e1,NCAA_D1,,Big Ten,https://purduesports.com/sports/baseball
cmou7g56n00f9qtkw20et5as4,Quinnipiac University,quinnipiac-university,Hamden,CT,,cmou7g57d00fbqtkw03owk44b,NCAA_D1,,MAAC,https://gobobcats.com/sports/baseball
cmou6tv7100blqti0ro2wk1tg,Radford University,radford-university,Radford,VA,,cmou6tv7r00bnqti0zdyxeksd,NCAA_D1,,Big South,https://radfordathletics.com/sports/baseball
cmou57edu007xqtdwf0oux6v3,Rice University,rice-university,Houston,TX,,cmou57eem007zqtdwx7f8coft,NCAA_D1,,AAC,https://riceowls.com/sports/baseball
cmou7g58200fcqtkwlr36bze7,Rider University,rider-university,Lawrenceville,NJ,,cmou7g58r00feqtkwnpsgaznj,NCAA_D1,,MAAC,https://gobroncs.com/sports/baseball
cmoss3usl003oqtaorrzcvm28,Rutgers University,rutgers-university,New Brunswick,NJ,,cmoss3ut9003qqtaoy83jq2k5,NCAA_D1,,Big Ten,https://scarletknights.com/sports/baseball
cmou7zwi600jiqt182wps2oyk,Saint Francis University,saint-francis-university,Loretto,PA,,cmou7zwix00jkqt18iaqsgumz,NCAA_D1,,Northeast Conference,https://sfuathletics.com/sports/baseball
cmou869xz00l9qtjkp3n01t3v,Samford University,samford-university,Birmingham,AL,,cmou869yo00lbqtjkmkyipunp,NCAA_D1,,SoCon,https://samfordsports.com/sports/baseball
cmou7g5c700flqtkwnuf1bsxy,Siena College,siena-college,Loudonville,NY,,cmou7g5cy00fnqtkwcn5qqhb9,NCAA_D1,,MAAC,https://sienasaints.com/sports/baseball
