programId,collegeId,collegeName,slug,division,previousBaseballWebsiteUrl,restoredBaseballWebsiteUrl,confidence,sourceContactUrl,coachCount,action,reason
cmosun04b004qqtlg5tbn4tad,cmosun03o004oqtlgjeqvedtg,University of Houston,university-of-houston,NCAA_D1,,https://uhcougars.com/sports/baseball,HIGH,https://uhcougars.com/sports/baseball/roster#sidearm-roster-coaches,4,WOULD_UPDATE,
cmoss3ucp002qqtaoodp62vry,cmoss3uby002oqtao54kmml5m,University of Illinois,university-of-illinois,NCAA_D1,,https://fightingillini.com/sports/baseball,HIGH,https://fightingillini.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmoss3ufl002wqtaoqkam7j3s,cmoss3uew002uqtao33d0b37y,University of Iowa,university-of-iowa,NCAA_D1,,https://hawkeyesports.com/sports/baseball,HIGH,https://hawkeyesports.com/sports/baseball/roster#sidearm-roster-coaches,4,WOULD_UPDATE,
cmosun05l004tqtlgtp5puhg6,cmosun04x004rqtlgmuopyesz,University of Kansas,university-of-kansas,NCAA_D1,,https://kuathletics.com/sports/baseball,HIGH,https://kuathletics.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmosownsl000kqtuo6bkrgo88,cmosownru000iqtuo4o7sl6mq,University of Louisville,university-of-louisville,NCAA_D1,,https://gocards.com/sports/baseball,HIGH,https://gocards.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmoss3ugz002zqtao0glr6o9h,cmoss3uga002xqtaoeu7linqc,University of Maryland,university-of-maryland,NCAA_D1,,https://umterps.com/sports/baseball,HIGH,https://umterps.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmou57ed3007wqtdwo9u0rnod,cmou57ece007uqtdws2374kvt,University of Memphis,university-of-memphis,NCAA_D1,,https://gotigersgo.com/sports/baseball,HIGH,https://gotigersgo.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
cmosownu4000nqtuowsumxl0o,cmosowntd000lqtuoyvr4xd0q,University of Miami,university-of-miami,NCAA_D1,,https://miamihurricanes.com/sports/baseball,HIGH,https://miamihurricanes.com/sports/baseball/roster#sidearm-roster-coaches,4,WOULD_UPDATE,
cmoss3uib0032qtaobpuy0tpv,cmoss3uhm0030qtaobbllk1g1,University of Michigan,university-of-michigan,NCAA_D1,,https://mgoblue.com/sports/2017/6/28/baseball-coaches,HIGH,https://mgoblue.com/sports/2017/6/28/baseball-coaches,4,WOULD_UPDATE,
cmoss3ul10038qtao9tzgk83e,cmoss3ukd0036qtao5inxhdyw,University of Minnesota,university-of-minnesota,NCAA_D1,,https://gophersports.com/sports/baseball,HIGH,https://gophersports.com/sports/baseball/roster/2026#sidearm-roster-coaches,4,WOULD_UPDATE,
