slug,collegeName,highConfidenceAreas,mediumConfidenceAreas,lowConfidenceAreas,writeAreas,matchedCount,writeCount,sourceUrl,writeStatus
ucla,UCLA,Education,Art|Entrepreneurship|History,,Education|Art|Entrepreneurship|History,4,4,https://www.ucla.edu/academics,WRITTEN
unc-asheville,UNC Asheville,Engineering,Civil Engineering|Computer Engineering|Education,Biomedical Engineering|Chemistry|Electrical Engineering|Finance|Human Resources|Mechanical Engineering|Physics,Engineering|Civil Engineering|Computer Engineering|Education,11,4,https://www.unca.edu/degrees,WRITTEN
unc-pembroke,UNC Pembroke,Education|Occupational Therapy,Art|Business|Communications|Engineering|Health Sciences|Marketing,Performing Arts,Education|Occupational Therapy|Art|Business|Communications|Engineering|Health Sciences|Marketing,9,8,https://www.uncp.edu/academics,WRITTEN
unc-wilmington,UNC Wilmington,Education|Engineering,Business|Cybersecurity|Film Studies|Mathematics|Performing Arts|Statistics,Communications|Human Services|Psychology,Education|Engineering|Business|Cybersecurity|Film Studies|Mathematics|Performing Arts|Statistics,11,8,https://uncw.edu/academics,WRITTEN
usc-upstate,USC Upstate,Education,Art|Art History|Business|Economics|Engineering|Entrepreneurship|History|Marketing|Nursing|Occupational Therapy|Physical Therapy|Pre-Law|Pre-Pharmacy|Pre-Physical Therapy|Pre-Veterinary Medicine,Biology|Chemistry|Computer Science|Criminal Justice|Film Studies|Mathematics|Philosophy|Political Science|Psychology|Public Relations|Sociology,Education|Art|Art History|Business|Economics|Engineering|Entrepreneurship|History|Marketing|Nursing|Occupational Therapy|Physical Therapy|Pre-Law|Pre-Pharmacy|Pre-Physical Therapy|Pre-Veterinary Medicine,27,16,https://www.uscupstate.edu/academics,WRITTEN
uva-wise,UVA Wise,Business|Computer Science|Economics|Education|History|Literature|Management|Mathematics|Performing Arts,Accounting|Art|Biochemistry|Biology|Chemistry|Criminal Justice|Engineering|English|Environmental Science|Exercise Science|Finance|Hospitality|Information Systems|Music|Nursing|Philosophy|Psychology|Sociology|Software Engineering|Sport Management|Theater,,Business|Computer Science|Economics|Education|History|Literature|Management|Mathematics|Performing Arts|Accounting|Art|Biochemistry|Biology|Chemistry|Criminal Justice|Engineering|English|Environmental Science|Exercise Science|Finance|Hospitality|Information Systems|Music|Nursing|Philosophy|Psychology|Sociology|Software Engineering|Sport Management|Theater,30,30,https://www.uvawise.edu/academics,WRITTEN
union-college-new-york,Union College (New York),,Engineering,,Engineering,1,1,https://www.union.edu,WRITTEN
united-states-naval-academy,United States Naval Academy,History,Education|Engineering,Mathematics,History|Education|Engineering,4,3,https://www.usna.edu,WRITTEN
university-of-akron,University of Akron,,Business|Education|History,Engineering|Psychology,Business|Education|History,5,3,https://www.uakron.edu/academics,WRITTEN
university-of-alabama,University of Alabama,,Data Science,Emergency Management|Information Technology,Data Science,3,1,https://www.ua.edu,WRITTEN
university-of-alabama-at-birmingham,University of Alabama at Birmingham,Education,Nursing|Public Health,Engineering|Human Resources,Education|Nursing|Public Health,5,3,https://www.uab.edu,WRITTEN
university-of-arkansas,University of Arkansas,,Biology,Statistics,Biology,2,1,https://www.uark.edu/academics,WRITTEN
university-of-arkansas-at-little-rock,University of Arkansas at Little Rock,Education,Business|Political Science,Cybersecurity|Engineering,Education|Business|Political Science,5,3,https://ualr.edu,WRITTEN
university-of-arkansas-at-pine-bluff,University of Arkansas at Pine Bluff,Agriculture|Education|English|Management,Art|Biology|Business|Chemistry|Computer Science|Criminal Justice|History|Music|Nursing|Physics|Social Work,Accounting|Communications|Engineering|Finance|Human Resources|Mathematics,Agriculture|Education|English|Management|Art|Biology|Business|Chemistry|Computer Science|Criminal Justice|History|Music|Nursing|Physics|Social Work,21,15,https://www.uapb.edu/academics,WRITTEN
university-of-california-berkeley,University of California Berkeley,,Education,,Education,1,1,https://www.berkeley.edu,WRITTEN
university-of-california-santa-cruz,"University of California, Santa Cruz",,Biology|Engineering|History,Economics|Finance|Information Technology|Physics,Biology|Engineering|History,7,3,https://www.ucsc.edu/academics/programs,WRITTEN
university-of-central-arkansas,University of Central Arkansas,Education|Engineering,Art|Business|English|Information Technology|Management|Marketing,Accounting|Biochemistry|Biology|Chemistry|Communications|Computer Science|Economics|Environmental Science|Finance|Health Sciences|Information Systems|Literature|Mathematics|Nursing|Nutrition|Occupational Therapy|Philosophy|Physical Therapy|Physics|Psychology|Sociology,Education|Engineering|Art|Business|English|Information Technology|Management|Marketing,29,8,https://uca.edu/academics,WRITTEN
university-of-chicago,University of Chicago,,,,,0,0,,NO_WRITABLE_MATCHES
