collegeId,collegeName,slug,city,state,legacyDivision,canonicalDivision,legacyConference,canonicalConference,baseballWebsiteUrl,importedCoachCount
cmou8ctqr00o3qtlo8m1mrgsb,Utah Valley University,utah-valley-university,Orem,UT,,NCAA_D1,,WAC,https://gouvu.com/sports/baseball,4
cmou7wkn100huqt5sh5w0xwo6,Valparaiso University,valparaiso-university,Valparaiso,IN,,NCAA_D1,,Missouri Valley,https://valpoathletics.com/sports/baseball,3
cmorirvg7001lqtm0c5s97k3m,Vanderbilt University,vanderbilt-university,Nashville,TN,,NCAA_D1,,SEC,https://vucommodores.com/sports/baseball,5
cmou6bacb00b0qtickdtwuqln,Villanova University,villanova-university,Villanova,PA,,NCAA_D1,,,https://villanova.com/sports/baseball,4
cmou65qk50099qt1olu75tu27,Virginia Commonwealth University,virginia-commonwealth-university,Richmond,VA,,NCAA_D1,,,https://vcuathletics.com/sports/baseball,4
cmou869zc00lcqtjkf80ewntk,Virginia Military Institute,virginia-military-institute,Lexington,VA,,NCAA_D1,,SoCon,https://vmikeydets.com/sports/baseball,4
cmorirvkj001uqtm0xddfcy1n,Virginia Tech,virginia-tech,Blacksburg,VA,,NCAA_D1,,,https://hokiesports.com/sports/baseball,4
cmou7zwjn00jlqt18mlkrxann,Wagner College,wagner-college,Staten Island,NY,,NCAA_D1,,Northeast Conference,https://wagnerathletics.com/sports/baseball,4
cmorirv2b000uqtm0d0xcn8m3,Wake Forest University,wake-forest-university,Winston-Salem,NC,,NCAA_D1,,,https://godeacs.com/sports/baseball,4
cmou3xrnk007cqt5s6uwa48hy,Washington State University,washington-state-university,Pullman,WA,,NCAA_D1,,Pac-12,https://wsucougars.com/sports/baseball,1
cmosun0e0005cqtlgaq1vqq45,West Virginia University,west-virginia-university,Morgantown,WV,,NCAA_D1,,,https://wvusports.com/sports/baseball,4
cmou86a0n00lfqtjkf6uhpkzy,Western Carolina University,western-carolina-university,Cullowhee,NC,,NCAA_D1,,SoCon,https://catamountsports.com/sports/baseball,4
cmou825c800kcqtfoov9rimot,Western Illinois University,western-illinois-university,Macomb,IL,,NCAA_D1,,Ohio Valley,https://goleathernecks.com/sports/baseball,3
cmou74gg300dlqtboxjrli6hd,Western Kentucky University,western-kentucky-university,Bowling Green,KY,,NCAA_D1,,Conference USA,https://wkusports.com/sports/baseball,3
cmou7sktc00glqtag4fw8487m,Western Michigan University,western-michigan-university,Kalamazoo,MI,,NCAA_D1,,MAC,https://wmubroncos.com/sports/baseball,4
cmou57emf008cqtdwbx84cqra,Wichita State University,wichita-state-university,Wichita,KS,,NCAA_D1,,,https://goshockers.com/sports/baseball,4
cmou72rni00coqtt8wk6kqq0s,William & Mary,william-and-mary,Williamsburg,VA,,NCAA_D1,,CAA,https://tribeathletics.com/sports/baseball,3
cmorihv3g000cqth80t0ywnkz,Winthrop University,winthrop-university,Rock Hill,SC,,NCAA_D1,,,https://winthropeagles.com/sports/baseball,4
cmorihv200009qth8tpbw4u9n,Wofford College,wofford-college,Spartanburg,SC,,NCAA_D1,,SoCon,https://woffordterriers.com/sports/baseball,4
cmou7aqjy00doqt44d0xwv16o,Wright State University,wright-state-university,Dayton,OH,,NCAA_D1,,Horizon League,https://wsuraiders.com/sports/baseball,4
cmou6bado00b3qticrimagx0v,Xavier University,xavier-university,Cincinnati,OH,,NCAA_D1,,,https://goxavier.com/sports/baseball,4
cmou7ekwq00eoqtx8hjslnjkg,Yale University,yale-university,New Haven,CT,,NCAA_D1,,Ivy League,https://yalebulldogs.com/sports/baseball,2
cmou7aqoh00dxqt44fbtxgn7d,Youngstown State University,youngstown-state-university,Youngstown,OH,,NCAA_D1,,Horizon League,https://ysusports.com/sports/baseball,2
